Date,New Cases,New Deaths,New Recovered,New Tests,Total Cases,Total Deaths,Total Recovered,Total Active,Total Tests,Death/Cases (%),Death/Recovered,Cases/Tests(%),Cases/1M Pop.,Deaths/1M Pop.
2020-03-08,3,0,0,120,3,0,0,3,120,0.0000,0.0000,2.5000,0.0167,0.0000
2020-03-09,0,0,0,7,3,0,0,3,127,0.0000,0.0000,2.3622,0.0167,0.0000
2020-03-10,0,0,0,10,3,0,0,3,137,0.0000,0.0000,2.1898,0.0167,0.0000
2020-03-11,0,0,0,10,3,0,0,3,147,0.0000,0.0000,2.0408,0.0167,0.0000
2020-03-12,0,0,0,16,3,0,0,3,163,0.0000,0.0000,1.8405,0.0167,0.0000
2020-03-13,0,0,0,24,3,0,0,3,187,0.0000,0.0000,1.6043,0.0167,0.0000
2020-03-14,0,0,0,24,3,0,0,3,211,0.0000,0.0000,1.4218,0.0167,0.0000
2020-03-15,2,0,0,30,5,0,0,5,241,0.0000,0.0000,2.0747,0.0278,0.0000
2020-03-16,3,0,0,27,8,0,0,8,268,0.0000,0.0000,2.9851,0.0444,0.0000
2020-03-17,2,0,0,49,10,0,0,10,317,0.0000,0.0000,3.1546,0.0556,0.0000
2020-03-18,4,1,3,49,14,1,3,10,366,7.1429,0.3333,3.8251,0.0778,0.0056
2020-03-19,3,0,0,46,17,1,3,13,412,5.8824,0.3333,4.1262,0.0944,0.0056
2020-03-20,3,0,0,36,20,1,3,16,448,5.0000,0.3333,4.4643,0.1111,0.0056
2020-03-21,4,0,0,36,24,1,3,20,484,4.1667,0.3333,4.9587,0.1333,0.0056
2020-03-22,4,1,0,65,28,2,3,23,549,7.1429,0.6667,5.1002,0.1556,0.0111
2020-03-23,5,0,0,56,33,2,3,28,605,6.0606,0.6667,5.4545,0.1833,0.0111
2020-03-24,6,1,2,92,39,3,5,31,697,7.6923,0.6000,5.5954,0.2167,0.0167
2020-03-25,0,2,2,82,39,5,7,27,779,12.8205,0.7143,5.0064,0.2167,0.0278
2020-03-26,5,0,4,126,44,5,11,28,905,11.3636,0.4545,4.8619,0.2444,0.0278
2020-03-27,4,0,0,106,48,5,11,32,1011,10.4167,0.4545,4.7478,0.2667,0.0278
2020-03-28,0,0,4,47,48,5,15,28,1058,10.4167,0.3333,4.5369,0.2667,0.0278
2020-03-29,0,0,0,109,48,5,15,28,1167,10.4167,0.3333,4.1131,0.2667,0.0278
2020-03-30,1,0,4,153,49,5,19,25,1320,10.2041,0.2632,3.7121,0.2722,0.0278
2020-03-31,2,0,6,140,51,5,25,21,1460,9.8039,0.2000,3.4932,0.2833,0.0278
2020-04-01,3,1,1,157,54,6,26,22,1617,11.1111,0.2308,3.3395,0.3000,0.0333
2020-04-02,2,0,0,141,56,6,26,24,1758,10.7143,0.2308,3.1854,0.3111,0.0333
2020-04-03,5,0,0,203,61,6,26,29,1961,9.8361,0.2308,3.1107,0.3389,0.0333
2020-04-04,9,2,4,434,70,8,30,32,2395,11.4286,0.2667,2.9228,0.3889,0.0444
2020-04-05,18,1,0,367,88,9,30,49,2762,10.2273,0.3000,3.1861,0.4889,0.0500
2020-04-06,35,3,3,468,123,12,33,78,3230,9.7561,0.3636,3.8080,0.6833,0.0667
2020-04-07,41,5,0,679,164,17,33,114,3909,10.3659,0.5152,4.1954,0.9111,0.0944
2020-04-08,54,3,0,981,218,20,33,165,4890,9.1743,0.6061,4.4581,1.2111,0.1111
2020-04-09,112,1,0,905,330,21,33,276,5795,6.3636,0.6364,5.6946,1.8333,0.1167
2020-04-10,94,6,0,1184,424,27,33,364,6979,6.3679,0.8182,6.0754,2.3556,0.1500
2020-04-11,58,3,3,954,482,30,36,416,7933,6.2241,0.8333,6.0759,2.6778,0.1667
2020-04-12,139,4,3,1340,621,34,39,548,9273,5.4750,0.8718,6.6969,3.4500,0.1889
2020-04-13,182,5,3,1570,803,39,42,722,10843,4.8568,0.9286,7.4057,4.4611,0.2167
2020-04-14,209,7,0,1905,1012,46,42,924,12748,4.5455,1.0952,7.9385,5.6222,0.2556
2020-04-15,219,4,7,1740,1231,50,49,1132,14488,4.0617,1.0204,8.4967,6.8389,0.2778
2020-04-16,341,10,0,2135,1572,60,49,1463,16623,3.8168,1.2245,9.4568,8.7333,0.3333
2020-04-17,266,15,9,2190,1838,75,58,1705,18813,4.0805,1.2931,9.7698,10.2111,0.4167
2020-04-18,306,9,8,2106,2144,84,66,1994,20919,3.9179,1.2727,10.2491,11.9111,0.4667
2020-04-19,312,7,9,2634,2456,91,75,2290,23553,3.7052,1.2133,10.4275,13.6444,0.5056
2020-04-20,492,10,10,2779,2948,101,85,2762,26332,3.4261,1.1882,11.1955,16.3778,0.5611
2020-04-21,434,9,2,2974,3382,110,87,3185,29306,3.2525,1.2644,11.5403,18.7889,0.6111
2020-04-22,390,10,5,3052,3772,120,92,3560,32358,3.1813,1.3043,11.6571,20.9556,0.6667
