District/City,New Cases,Total,Increase(%)
B. Baria,13,24,118.181818
Bagerhat,0,1,0.000000
Bandarban,3,4,300.000000
Barguna,5,17,41.666667
Barishal,10,34,41.666667
Bhola,0,0,0.000000
Bogra,4,5,400.000000
Chandpur,0,10,0.000000
Chapainawabganj,0,1,0.000000
Chattogram,0,42,0.000000
Chuadanga,1,2,100.000000
Cox's bazar,4,5,400.000000
Cumilla,6,27,28.571429
Dhaka,306,1522,25.164474
Dinajpur,2,13,18.181818
Faridpur,0,6,0.000000
Feni,1,3,50.000000
Gaibandha,0,13,0.000000
Gazipur,0,269,0.000000
Gopalganj,5,35,16.666667
Hobiganj,12,13,1200.000000
Jamalpur,8,29,38.095238
Jessore,4,5,400.000000
Jhalokathi,1,5,25.000000
Jhenaidah,0,0,0.000000
Joypurhat,2,4,100.000000
Khagrachhari,0,0,0.000000
Khulna,1,4,33.333333
Kishoreganj,0,146,0.000000
Kurigram,1,3,50.000000
Kushtia,0,2,0.000000
Laksmipur,0,25,0.000000
Lalmonirhat,0,2,0.000000
Madaripur,2,27,8.000000
Magura,0,1,0.000000
Manikganj,2,9,28.571429
Meherpur,0,1,0.000000
Moulovi Bazar,0,2,0.000000
Munshigonj,28,61,84.848485
Mymensingh,30,63,90.909091
Naogaon,0,1,0.000000
Narail,5,7,250.000000
Narayanganj,121,508,31.266150
Narshingdi,1,136,0.740741
Natore,0,0,0.000000
Netrokona,8,22,57.142857
Nilphamari,1,10,11.111111
Noakhali,0,4,0.000000
Pabna,1,3,50.000000
Panchagar,1,2,100.000000
Pirojpur,0,5,0.000000
Potuakhali,8,10,400.000000
Rajbari,1,9,12.500000
Rajshahi,4,9,80.000000
Rangamati,0,0,0.000000
Rangpur,3,9,50.000000
Satkhira,0,0,0.000000
Shariatpur,3,11,37.500000
Sherpur,6,19,46.153846
Sirajganj,1,2,100.000000
Sunamganj,0,1,0.000000
Sylhet,0,4,0.000000
Tangail,5,15,50.000000
Thakurgaon,2,8,33.333333
