District/City,New Cases,Total Cases,Increase(%)
Bagerhat,0,1,0.000000
Bandarban,0,4,0.000000
Barguna,0,23,0.000000
Barishal,3,38,8.571429
Bhola,0,2,0.000000
Bogra,1,11,10.000000
B. Baria,4,29,16.000000
Chandpur,0,10,0.000000
Chapainawabganj,0,1,0.000000
Chattogram,1,46,2.222222
Chuadanga,0,8,0.000000
Cox's bazar,0,6,0.000000
Cumilla,7,39,21.875000
Dhaka,175,2299,8.239171
Dinajpur,0,13,0.000000
Faridpur,1,9,12.500000
Feni,0,3,0.000000
Gaibandha,2,16,14.285714
Gazipur,0,261,0.000000
Gopalganj,3,46,6.976744
Hobiganj,20,41,95.238095
Jamalpur,7,37,23.333333
Jessore,0,7,0.000000
Jhalokathi,0,5,0.000000
Jhenaidah,0,0,0.000000
Joypurhat,0,4,0.000000
Khagrachhari,0,0,0.000000
Khulna,0,7,0.000000
Kishoreganj,1,181,0.555556
Kurigram,0,3,0.000000
Kushtia,0,4,0.000000
Laksmipur,1,28,3.703704
Lalmonirhat,0,2,0.000000
Madaripur,1,29,3.571429
Magura,0,2,0.000000
Manikganj,0,12,0.000000
Moulovi Bazar,0,4,0.000000
Meherpur,0,2,0.000000
Munshigonj,0,62,0.000000
Mymensingh,19,87,27.941176
Naogaon,0,2,0.000000
Narail,0,7,0.000000
Narayanganj,28,594,4.946996
Narshingdi,0,141,0.000000
Natore,0,0,0.000000
Netrokona,3,25,13.636364
Nilphamari,0,10,0.000000
Noakhali,1,5,25.000000
Pabna,0,3,0.000000
Panchagar,0,3,0.000000
Potuakhali,3,19,18.750000
Pirojpur,2,7,40.000000
Rajbari,1,12,9.090909
Rajshahi,1,10,11.111111
Rangamati,0,0,0.000000
Rangpur,3,18,20.000000
Satkhira,0,0,0.000000
Shariatpur,3,14,27.272727
Sherpur,0,19,0.000000
Sirajganj,0,2,0.000000
Sunamganj,0,13,0.000000
Sylhet,0,11,0.000000
Tangail,1,22,4.761905
Thakurgaon,0,7,0.000000
