District/City,New Cases,New Deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Cases Increase(%)
Bagerhat,0,0,0,1,0,0,0.0000
Bandarban,0,0,0,4,0,0,0.0000
Barguna,0,0,0,30,1,0,0.0000
Barishal,2,0,0,40,0,0,5.2632
Bhola,2,0,0,4,0,0,100.0000
Bogra,0,0,0,17,0,0,0.0000
B. Baria,0,0,0,35,2,0,0.0000
Chandpur,0,0,0,11,0,0,0.0000
Chapainawabganj,0,0,0,2,0,0,0.0000
Chattogram,11,0,0,67,2,2,19.6429
Chuadanga,0,0,0,8,0,1,0.0000
Cox's bazar,6,0,0,19,0,1,46.1538
Cumilla,5,0,0,47,4,1,11.9048
Dhaka,293,0,0,3095,82,77,10.4568
Dinajpur,2,0,0,16,0,0,14.2857
Faridpur,0,0,0,9,0,0,0.0000
Feni,0,0,0,4,0,0,0.0000
Gaibandha,2,0,0,19,0,4,11.7647
Gazipur,3,0,0,318,0,1,0.9524
Gopalganj,0,0,0,50,0,0,0.0000
Hobiganj,0,0,0,48,0,0,0.0000
Jamalpur,7,0,0,52,3,0,15.5556
Jessore,10,0,0,36,0,0,38.4615
Jhalokathi,1,0,0,6,0,0,20.0000
Jhenaidah,8,0,0,19,0,0,72.7273
Joypurhat,11,0,0,21,1,0,110.0000
Khagrachhari,0,0,0,0,0,0,0.0000
Khulna,0,0,0,8,0,0,0.0000
Kishoreganj,3,0,0,194,1,0,1.5707
Kurigram,0,0,0,6,0,0,0.0000
Kushtia,0,0,0,10,0,0,0.0000
Laksmipur,3,0,0,34,1,0,9.6774
Lalmonirhat,0,0,0,2,0,0,0.0000
Madaripur,2,0,0,38,2,9,5.5556
Magura,0,0,0,4,0,0,0.0000
Manikganj,0,0,0,15,0,0,0.0000
Moulovi Bazar,0,0,0,12,2,0,0.0000
Meherpur,0,0,0,2,1,0,0.0000
Munshigonj,4,0,0,82,3,0,5.1282
Mymensingh,9,0,0,117,2,0,8.3333
Naogaon,0,0,0,1,0,0,0.0000
Narail,0,0,0,13,0,0,0.0000
Narayanganj,150,0,0,849,39,25,21.4592
Narshingdi,0,0,0,142,1,1,0.0000
Natore,0,0,0,0,0,0,0.0000
Netrokona,2,0,0,27,0,0,8.0000
Nilphamari,1,0,0,11,0,0,10.0000
Noakhali,1,0,0,6,1,0,20.0000
Pabna,6,0,0,8,0,0,300.0000
Panchagar,3,0,0,7,0,0,75.0000
Potuakhali,3,0,0,23,1,0,15.0000
Pirojpur,1,0,0,8,0,0,14.2857
Rajbari,0,0,0,14,0,0,0.0000
Rajshahi,0,0,0,10,1,0,0.0000
Rangamati,0,0,0,0,0,0,0.0000
Rangpur,7,0,0,28,0,0,33.3333
Satkhira,0,0,0,0,0,0,0.0000
Shariatpur,2,0,0,24,1,0,9.0909
Sherpur,0,0,0,23,0,0,0.0000
Sirajganj,1,0,0,3,0,0,50.0000
Sunamganj,11,0,0,26,0,0,73.3333
Sylhet,2,0,0,16,2,0,14.2857
Tangail,3,0,0,27,2,0,12.5000
Thakurgaon,7,0,0,15,0,0,87.5000
