District/City,New Cases,New Deaths,Total Cases,Total Deaths,Cases Increase(%)
Bagerhat,0,0,2,0,0.0000
Bandarban,0,0,4,0,0.0000
Barguna,0,0,33,1,0.0000
Barishal,0,0,41,0,0.0000
Bhola,0,0,5,0,0.0000
Bogra,0,0,18,0,0.0000
B. Baria,1,0,56,2,1.8182
Chandpur,12,0,27,0,80.0000
Chapainawabganj,0,0,2,0,0.0000
Chattogram,23,0,105,2,28.0488
Chuadanga,1,0,10,0,11.1111
Cox's bazar,2,0,39,0,5.4054
Cumilla,7,0,112,4,6.6667
Dhaka,462,0,5357,101,9.4382
Dinajpur,1,1,21,1,5.0000
Faridpur,1,0,15,0,7.1429
Feni,0,0,6,0,0.0000
Gaibandha,1,0,24,0,4.3478
Gazipur,1,0,326,0,0.3077
Gopalganj,0,0,44,0,0.0000
Hobiganj,0,0,69,0,0.0000
Jamalpur,1,0,74,3,1.3699
Jessore,11,0,74,0,17.4603
Jhalokathi,0,0,10,0,0.0000
Jhenaidah,8,0,27,0,42.1053
Joypurhat,1,0,34,1,3.0303
Khagrachari,0,0,2,0,0.0000
Khulna,1,0,17,0,6.2500
Kishoreganj,0,0,202,1,0.0000
Kurigram,0,0,22,0,0.0000
Kushtia,0,0,16,0,0.0000
Laksmipur,2,0,45,1,4.6512
Lalmonirhat,1,0,4,0,33.3333
Madaripur,1,0,48,2,2.1277
Magura,0,0,7,0,0.0000
Manikganj,2,0,24,0,9.0909
Moulovi Bazar,2,0,21,3,10.5263
Meherpur,1,0,3,1,50.0000
Munshigonj,34,0,161,4,26.7717
Mymensingh,3,0,169,3,1.8072
Naogaon,1,0,17,0,6.2500
Narail,0,0,13,0,0.0000
Narayanganj,34,0,1055,40,3.3301
Narshingdi,12,0,166,1,7.7922
Natore,1,0,10,0,11.1111
Netrokona,1,0,52,0,1.9608
Nilphamari,2,0,25,0,8.6957
Noakhali,4,0,21,1,23.5294
Pabna,4,0,15,1,36.3636
Panchagar,0,0,8,0,0.0000
Potuakhali,0,0,28,1,0.0000
Pirojpur,0,0,0,0,0.0000
Rajbari,3,0,22,0,15.7895
Rajshahi,4,0,25,2,19.0476
Rangamati,0,0,0,0,0.0000
Rangpur,13,0,75,1,20.9677
Satkhira,1,0,3,0,50.0000
Shariatpur,4,0,44,1,10.0000
Sherpur,0,0,26,0,0.0000
Sirajganj,0,0,4,0,0.0000
Sunamganj,2,0,35,0,6.0606
Sylhet,6,0,24,2,33.3333
Tangail,0,0,30,3,0.0000
Thakurgaon,0,0,19,0,0.0000
