District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,907,0.0000
Bandarban,5,694,0.7257
Barguna,0,863,0.0000
Barishal,18,3190,0.5675
Bhola,1,669,0.1497
Bogura,38,6799,0.5620
B. Baria,0,2299,0.0000
Chandpur,2,2141,0.0935
Chapainawabganj,2,704,0.2849
Chattogram,107,17299,0.6224
Chuadanga,83,1278,6.9456
Cox's bazar,38,4099,0.9357
Comilla,33,6881,0.4819
Dhaka,6,85517,0.0070
Dinajpur,20,3077,0.6542
Faridpur,33,6522,0.5086
Feni,10,1690,0.5952
Gaibandha,58,1005,6.1246
Gazipur,31,5054,0.6172
Gopalganj,0,2353,0.0000
Hobiganj,10,1572,0.6402
Jamalpur,7,1369,0.5140
Jashore,137,3376,4.2297
Jhalokathi,0,646,0.0000
Jhenaidah,73,1688,4.5201
Joypurhat,2,959,0.2090
Khagrachari,0,634,0.0000
Khulna,123,5790,2.1705
Kishoreganj,10,2558,0.3925
Kurigram,18,810,2.2727
Kushtia,139,2831,5.1634
Laksmipur,19,1981,0.9684
Lalmonirhat,10,713,1.4225
Madaripur,64,1366,4.9155
Magura,52,821,6.7620
Manikganj,7,1241,0.5673
Moulvibazar,3,1511,0.1989
Meherpur,39,543,7.7381
Munshigonj,7,3226,0.2175
Mymensingh,10,3397,0.2952
Naogaon,0,1169,0.0000
Narail,10,1205,0.8368
Narayanganj,19,6468,0.2946
Narshingdi,13,2100,0.6229
Natore,12,876,1.3889
Netrokona,3,690,0.4367
Nilphamari,12,915,1.3289
Noakhali,31,4630,0.6741
Pabna,0,1020,0.0000
Panchagarh,6,530,1.1450
Patuakhali,8,1330,0.6051
Pirojpur,0,995,0.0000
Rajbari,0,2651,0.0000
Rajshahi,14,4612,0.3045
Rangamati,6,844,0.7160
Rangpur,54,2457,2.2472
Satkhira,0,1036,0.0000
Shariatpur,11,1559,0.7106
Sherpur,3,435,0.6944
Sirajganj,18,1973,0.9207
Sunamganj,11,2076,0.5327
Sylhet,53,5806,0.9213
Tangail,22,2680,0.8277
Thakurgaon,0,923,0.0000
