District/City,Latitude (generated),Longitude (generated),Total
B. Baria,23.967296,91.108473,11
Bagerhat,22.659899,89.768132,1
Bandarban,22.195888,92.218601,1
Barguna,22.160221,90.117777,10
Barishal,22.7217,90.3571,21
Bhola,22.685781,90.646265,0
Bogra,24.84801,89.372702,1
Chandpur,23.24,90.66,8
Chattogram,22.336138,91.82806,39
Chuadanga,23.640679,88.854193,1
Cox's bazar,21.4539,91.9676,1
Cumilla,23.46355,91.166694,19
Dhaka,23.7,90.3667,1014
Dinajpur,25.622128,88.643809,10
Faridpur,23.601765,89.833276,4
Feni,23.014218,91.394493,2
Gaibandha,25.328448,89.542968,12
Gazipur,23.9889,90.375,173
Gopalganj,23.020966,89.840649,21
Hobiganj,24.375739,91.416334,1
Jamalpur,24.914242,89.954722,20
Jessore,23.184612,89.187661,1
Jhalokathi,22.639439,90.196963,4
Jhenaidah,23.553746,89.17392,0
Joypurhat,25.103498,89.022343,2
Khagrachhari,23.111709,91.988814,0
Khulna,22.845297,89.540905,1
Kishoreganj,24.432137,90.786311,77
Kurigram,25.813068,89.643632,2
Kushtia,23.90887,89.122017,0
Laksmipur,22.945127,90.834056,21
Lalmonirhat,25.915748,89.449168,2
Madaripur,23.2,90.18,25
Magura,23.485654,89.419677,0
Manikganj,23.8577,90.0096,6
Meherpur,23.772444,88.631396,0
Moulovi Bazar,24.489262,91.761325,2
Munshigonj,23.541344,90.530592,33
Mymensingh,24.75,90.4,21
Naogaon,24.795724,88.930934,0
Narail,23.165964,89.498603,2
Narayanganj,23.8124,90.6262,386
Narshingdi,23.920649,90.718018,105
Natore,24.41159,88.972561,0
Nawabganj,24.589776,88.270319,0
Netrokona,24.882332,90.730922,14
Nilphamari,25.937736,88.840994,9
Noakhali,22.825751,91.101448,3
Pabna,24.012666,89.258972,2
Panchagar,26.33551,88.554864,1
Pirojpur,22.583662,89.970697,4
Potuakhali,22.3575,90.319167,2
Rajbari,23.7573,89.6463,7
Rajshahi,24.374,88.6011,4
Rangamati,22.66119,92.166721,0
Rangpur,25.6,89.25,5
Satkhira,22.71865,89.06985,0
Shariatpur,23.25,90.3667,7
Sherpur,25.0833,90.0833,11
Sirajganj,24.454357,89.690062,0
Sunamganj,24.95,91.43,1
Sylhet,24.9,91.8667,3
Tangail,24.3385,89.9867,10
Thakurgaon,26.033,88.466,6
