District/City,Total
Bagerhat,2
Bandarban,1
Barguna,12
Barisal,24
Bhola,0
Bogura,1
Brahamanbaria,11
Chandpur,10
Chapainawabganj,0
Chattogram,43
Chuadanga,1
Cox's Bazar,1
Cumilla,21
Dhaka,1216
Dinajpur,11
Faridpur,6
Feni,2
Gaibandha,13
Gazipur,269
Gopalganj,30
Habiganj,1
Jamalpur,21
Jessore,1
Jhalokati,4
Jhenaidah,0
Joypurhat,2
Khagrachhari,0
Khulna,3
Kishoreganj,146
Kurigram,2
Kushtia,0
Lakshmipur,25
Lalmonirhat,2
Madaripur,25
Magura,0
Manikganj,7
Maulvibazar,2
Meherpur,0
Munshiganj,33
Mymensingh,33
Naogaon,1
Narail,2
Narayanganj,387
Narsingdi,135
Natore,0
Netrakona,14
Nilphamari,9
Noakhali,4
Pabna,2
Panchagarh,1
Patuakhali,2
Pirojpur,5
Rajbari,8
Rajshahi,5
Rangamati,0
Rangpur,6
Satkhira,0
Shariatpur,8
Sherpur,13
Sirajganj,1
Sunamganj,1
Sylhet,4
Tangail,10
Thakurgaon,6
