District/City	Total Cases
Bagerhat	1
Bandarban	4
Barguna	23
Barishal	35
Bhola	2
Bogra	10
B. Baria	25
Chandpur	10
Chapainawabganj	1
Chattogram	45
Chuadanga	8
Cox's bazar	6
Cumilla	32
Dhaka	2124
Dinajpur	13
Faridpur	8
Feni	3
Gaibandha	14
Gazipur	294
Gopalganj	43
Hobiganj	21
Jamalpur	30
Jessore	7
Jhalokathi	5
Jhenaidah	0
Joypurhat	4
Khagrachhari	0
Khulna	7
Kishoreganj	180
Kurigram	5
Kushtia	4
Laksmipur	27
Lalmonirhat	2
Madaripur	28
Magura	2
Manikganj	12
Moulovi Bazar	4
Meherpur	2
Munshigonj	63
Mymensingh	68
Naogaon	2
Narail	7
Narayanganj	566
Narshingdi	141
Natore	1
Netrokona	22
Nilphamari	10
Noakhali	4
Pabna	3
Panchagar	3
Potuakhali	16
Pirojpur	5
Rajbari	11
Rajshahi	9
Rangamati	0
Rangpur	15
Satkhira	0
Shariatpur	11
Sherpur	19
Sirajganj	2
Sunamganj	13
Sylhet	11
Tangail	21
Thakurgaon	8
