District/City,New Cases,New Deaths,Total Cases,Total Deaths,Cases Increase(%)
Bagerhat,1,0,2,0,100
Bandarban,0,0,4,0,0
Barguna,0,0,30,1,0
Barishal,0,0,40,0,0
Bhola,0,0,5,0,0
Bogra,1,0,19,0,5.5556
B. Baria,3,0,40,2,8.1081
Chandpur,1,0,14,0,7.6923
Chapainawabganj,0,0,2,0,0
Chattogram,4,0,74,2,5.7143
Chuadanga,1,0,9,0,12.5
Cox's bazar,3,0,23,0,0.15
Cumilla,12,0,93,4,14.8148
Dhaka,332,4,3850,92,9.4372
Dinajpur,2,0,20,0,11.1111
Faridpur,0,0,12,0,0
Feni,2,0,6,0,50
Gaibandha,1,0,21,0,5
Gazipur,2,0,322,0,0.625
Gopalganj,0,0,45,0,0
Hobiganj,1,0,53,0,1.9231
Jamalpur,3,0,61,3,5.1724
Jessore,1,0,63,0,1.6129
Jhalokathi,2,0,8,0,33.3333
Jhenaidah,0,0,19,0,0
Joypurhat,4,0,32,1,14.2857
Khagrachhari,1,0,1,0,0
Khulna,0,0,11,0,0
Kishoreganj,3,0,200,1,1.5228
Kurigram,0,0,7,0,0
Kushtia,2,0,15,0,15.3846
Laksmipur,0,0,35,1,0
Lalmonirhat,0,0,3,0,0
Madaripur,1,0,39,2,2.6316
Magura,1,0,7,0,16.6667
Manikganj,0,0,21,0,0
Moulovi Bazar,0,0,12,2,0
Meherpur,0,0,2,1,0
Munshigonj,1,0,110,4,0.9174
Mymensingh,18,0,143,2,14.4
Naogaon,0,0,15,0,0
Narail,0,0,13,0,0
Narayanganj,60,0,923,39,6.9525
Narshingdi,3,0,145,1,2.1127
Natore,1,0,9,0,12.5
Netrokona,0,0,29,0,0
Nilphamari,0,0,13,0,0
Noakhali,0,0,6,1,0
Pabna,2,0,10,0,25
Panchagar,0,0,8,0,0
Potuakhali,4,0,27,1,17.3913
Pirojpur,1,0,9,0,12.5
Rajbari,3,0,17,0,21.4286
Rajshahi,0,0,19,2,0
Rangamati,0,0,0,0,0
Rangpur,3,0,31,0,10.7143
Satkhira,0,0,1,0,0
Shariatpur,6,0,30,1,25
Sherpur,0,0,25,0,0
Sirajganj,0,0,3,0,0
Sunamganj,0,0,28,0,0
Sylhet,2,0,18,2,12.5
Tangail,1,1,29,3,3.5714
Thakurgaon,0,0,16,0,0
