District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,17,0.0000
Bandarban,0,22,0.0000
Barguna,0,44,0.0000
Barishal,0,68,0.0000
Bhola,0,14,0.0000
Bogura,0,196,0.0000
B. Baria,14,115,13.8614
Chandpur,0,107,0.0000
Chapainawabganj,3,49,6.5217
Chattogram,38,1948,1.9895
Chuadanga,0,88,0.0000
Cox's bazar,35,470,8.0460
Cumilla,43,680,6.7504
Dhaka,652,15626,4.3542
Dinajpur,0,115,0.0000
Faridpur,0,147,0.0000
Feni,0,96,0.0000
Gaibandha,1,36,2.8571
Gazipur,9,618,1.4778
Gopalganj,0,165,0.0000
Hobiganj,4,165,2.4845
Jamalpur,0,206,0.0000
Jessore,2,144,1.4085
Jhalokathi,0,27,0.0000
Jhenaidah,0,48,0.0000
Joypurhat,0,135,0.0000
Khagrachari,9,35,34.6154
Khulna,3,67,4.6875
Kishoreganj,0,231,0.0000
Kurigram,0,64,0.0000
Kushtia,0,39,0.0000
Laksmipur,0,104,0.0000
Lalmonirhat,4,35,12.9032
Madaripur,0,107,0.0000
Magura,0,24,0.0000
Manikganj,2,132,1.5385
Moulovi Bazar,9,103,9.5745
Meherpur,0,12,0.0000
Munshigonj,0,655,0.0000
Mymensingh,9,409,2.2500
Naogaon,0,102,0.0000
Narail,1,26,4.0000
Narayanganj,1,1917,0.0522
Narshingdi,0,175,0.0000
Natore,0,51,0.0000
Netrokona,4,210,1.9417
Nilphamari,0,90,0.0000
Noakhali,0,417,0.0000
Pabna,0,37,0.0000
Panchagar,0,40,0.0000
Potuakhali,0,36,0.0000
Pirojpur,1,23,4.5455
Rajbari,0,66,0.0000
Rajshahi,2,56,3.7037
Rangmati,0,63,0.0000
Rangpur,8,394,2.0725
Satkhira,2,40,5.2632
Shariatpur,0,89,0.0000
Sherpur,2,83,2.4691
Sirajganj,1,17,6.2500
Sunamganj,0,97,0.0000
Sylhet,19,232,8.9202
Tangail,0,51,0.0000
Thakurgaon,0,61,0.0000
