Date,New Cases,New Deaths,New Recovered,New Tests,Total Cases,Total Deaths,Total Recovered,Total Active,Total Tests,Death/Cases (%),Death/Recovered,Cases/Tests(%),Cases/1M Pop.,Deaths/1M Pop.
2020-03-08,3,0,0,120,3,0,0,3,120,0.000,0.000,2.500,0.017,0.000
2020-03-09,0,0,0,7,3,0,0,3,127,0.000,0.000,2.362,0.017,0.000
2020-03-10,0,0,0,10,3,0,0,3,137,0.000,0.000,2.190,0.017,0.000
2020-03-11,0,0,0,10,3,0,0,3,147,0.000,0.000,2.041,0.017,0.000
2020-03-12,0,0,0,16,3,0,0,3,163,0.000,0.000,1.840,0.017,0.000
2020-03-13,0,0,0,24,3,0,0,3,187,0.000,0.000,1.604,0.017,0.000
2020-03-14,0,0,0,24,3,0,0,3,211,0.000,0.000,1.422,0.017,0.000
2020-03-15,2,0,0,30,5,0,0,5,241,0.000,0.000,2.075,0.028,0.000
2020-03-16,3,0,0,27,8,0,0,8,268,0.000,0.000,2.985,0.044,0.000
2020-03-17,2,0,0,49,10,0,0,10,317,0.000,0.000,3.155,0.056,0.000
2020-03-18,4,1,3,49,14,1,3,10,366,7.143,0.333,3.825,0.078,0.006
2020-03-19,3,0,0,46,17,1,3,13,412,5.882,0.333,4.126,0.094,0.006
2020-03-20,3,0,0,36,20,1,3,16,448,5.000,0.333,4.464,0.111,0.006
2020-03-21,4,0,0,36,24,1,3,20,484,4.167,0.333,4.959,0.133,0.006
2020-03-22,4,1,0,65,28,2,3,23,549,7.143,0.667,5.100,0.156,0.011
2020-03-23,5,0,0,56,33,2,3,28,605,6.061,0.667,5.455,0.183,0.011
2020-03-24,6,1,2,92,39,3,5,31,697,7.692,0.600,5.595,0.217,0.017
2020-03-25,0,2,2,82,39,5,7,27,779,12.821,0.714,5.006,0.217,0.028
2020-03-26,5,0,4,126,44,5,11,28,905,11.364,0.455,4.862,0.244,0.028
2020-03-27,4,0,0,106,48,5,11,32,1011,10.417,0.455,4.748,0.267,0.028
2020-03-28,0,0,4,47,48,5,15,28,1058,10.417,0.333,4.537,0.267,0.028
2020-03-29,0,0,0,109,48,5,15,28,1167,10.417,0.333,4.113,0.267,0.028
2020-03-30,1,0,4,153,49,5,19,25,1320,10.204,0.263,3.712,0.272,0.028
2020-03-31,2,0,6,140,51,5,25,21,1460,9.804,0.200,3.493,0.283,0.028
2020-04-01,3,1,1,157,54,6,26,22,1617,11.111,0.231,3.340,0.300,0.033
2020-04-02,2,0,0,141,56,6,26,24,1758,10.714,0.231,3.185,0.311,0.033
2020-04-03,5,0,0,203,61,6,26,29,1961,9.836,0.231,3.111,0.339,0.033
2020-04-04,9,2,4,434,70,8,30,32,2395,11.429,0.267,2.923,0.389,0.044
2020-04-05,18,1,0,367,88,9,30,49,2762,10.227,0.300,3.186,0.489,0.050
2020-04-06,35,3,3,468,123,12,33,78,3230,9.756,0.364,3.808,0.683,0.067
2020-04-07,41,5,0,679,164,17,33,114,3909,10.366,0.515,4.195,0.911,0.094
2020-04-08,54,3,0,981,218,20,33,165,4890,9.174,0.606,4.458,1.211,0.111
2020-04-09,112,1,0,905,330,21,33,276,5795,6.364,0.636,5.695,1.833,0.117
